#transposed from inter/CHT.txt
018EA1	018E51
016FD8	016CDE
0164F0	0162E7
015680	01549B
017370	0172DE
016AB8	0167E0
018079	01804D
015102	014FAC
016FC3	016D53
015665	0154DD
0181BF	018113
015291	015242
015115	014FAA
016FDF	016D4E
0185BA	018360
0164E0	016324
0181CD	018110
018810	0186F4
018810	018DFB
01973D	019701
019C6D	019C9A
019F4F	019F51
015274	015240
0151F1	0151EF
016137	01607A
0195D3	0195FF
01584F	0157B2
0169BF	016864
0189AC	0189CA
0178D1	017859
01769A	017691
0193A7	0194E0
01613E	015FFE
01993C	019969
018E9A	018DF9
01528D	015251
015109	014FED
0196AA	019669
0164BF	016361
01736B	017303
019A57	019A8C
016AA2	0168C0
016BAE	016B93
016582	01655B
0181C9	018138
01895D	0188E3
0177BC	017751
017C3D	017B7E
017032	016F4B
01861E	018539
0150D1	014FA8
01649F	016322
01854E	01835E
015DA0	015CE4
019A55	019A84
015DA0	015A07
016A4B	016865
018F4E	018F7F
017904	01785A
0177EF	0177EB
0197BD	019792
016AEC	016987
0185ED	0144D6
018B33	018BB4
0150B4	014F1B
016F1A	016CA4
01616A	016004
016473	0162A0
015969	015941
015614	015455
015D87	015C96
015AD7	0159AA
019A45	019A71
016A1E	0167A2
01750C	0174EF
016B50	016B27
016BC6	016BB4
019DD7	019E25
017798	01770D
018EC0	018EAF
018594	018537
0158BB	015899
015B19	015AF1
016AA3	016A2F
017A61	017A51
0193A9	0194E9
018B85	018C09
015B38	015A76
016A89	0167FD
0187F6	0186CF
016EAE	016D49
017345	0172EE
018784	0186F3
017BE9	017B5B
015852	0157D8
018494	0183B3
019C23	019CA5
015114	014FE6
016FE4	016D9B
0179B1	017977
0171FE	017118
017587	017574
019444	0194F8
017C4C	017B79
018E8A	018E0C
0156D1	015631
0177DA	0177A9
013A73	0139D0
01856D	018427
01562F	015578
01701F	016F47
017C2B	017BAB
018828	0187CF
01528C	01523F
015666	0154D5
017A62	0179FD
0184C0	01836A
01733B	0172F2
01905C	01900A
016ECC	016DA4
017E27	017EE6
019C37	019CA6
0153B2	015389
019081	018FC8
0152F5	0152B1
017658	0175A0
018806	01867F
018E89	018DB8
01792A	01783A
017CF2	017C9D
018823	0186CE
01507D	014F2A
0150DE	014F2A
016E88	016CA9
015AAF	0159AB
018AF1	018BB3
015049	014F1F
0195C8	0195F1
019055	018FDD
018466	0182C7
0197CC	0197E7
015E43	015E0F
01570D	0156F4
017DEF	017EAC
017152	01709C
017995	01794E
01744B	0173AE
0197CD	0197E8
016F7F	016DA0
0197D3	0197E9
0197DE	0197EB
0197D9	0197EA
0197DC	0197EC
019114	0190AC
015862	01575E
0155DA	01545C
0193A2	0194A8
0161AE	016003
015EE1	015E91
0164AB	01629A
01856A	01829C
015638	015452
015AF5	0159A9
018B9E	018C33
01858C	018297
019957	0198E8
017009	016CFB
016F6F	016D54
018541	018368
01648F	016326
019C58	019C9F
01580A	0157A9
0157E1	0157AD
016397	01631C
01555E	0154D1
015A6D	015A05
0160E1	016076
015641	016076
016C2C	016C29
0158FA	0158F6
01513C	014FE8
0191C5	01917D
0161E8	016079
0153B4	0153A3
019768	019765
01995C	01990D
019B58	019B47
019EF6	019EE1
0150E5	014FA5
016F86	016D47
016493	016320
018558	01835B
015DA2	015CE3
015635	0154D3
015B08	015A06
019A4D	019A81
017E5E	017ED5
019952	019976
0171D2	0170E7
01713C	0170E7
016A48	016861
0166C9	016653
0178FD	017857
019403	0194D9
017FF9	017FD8
0187EF	0186F2
018E7A	018DF7
019134	0190BA
019802	019876
019803	019877
019805	019879
019807	019878
019806	01987A
019808	01987B
01980F	019883
017169	0170E6
017463	01987C
019811	01987D
019813	01987F
01980E	019880
019812	019881
01980C	019882
0150BE	01503E
019810	019884
015ECE	015EBC
0178A9	017855
019871	019885
019818	019886
019838	019888
019817	019887
019826	01988F
019830	01988A
019821	019889
016F41	01988D
01981C	01988C
019832	01988B
016FA6	016EEA
019824	019890
018577	0184E3
01983B	019891
019839	019893
01983D	019893
019837	019894
017A4E	019896
019846	019897
