#data source: http://www.cns11643.gov.tw
018005	0485,0498
0180BA	040116,048B
0180A5	040116,04C2
0180A2	040116,0411,043B
0180B1	040116,0414,043D
0180A1	040116,0427,043B
0180AB	040116,0491
0180A9	04A9,040116
0180B4	0425,0414,040116
0180AA	040116,042E,0429
0180AF	0497,040116
0181E5	040106,0422
0181FE	040155
01820D	0422,0443,0458
0182B3	0495,042E,0429
01829D	0495,04B7
018299	0495,0483
0182AD	0495,04C2
0182BD	0495,0494
01829F	0495,0427,043B
0182B9	0495,04A7
0182B1	0495,0422,0415
0182AC	0495,0423,0439
0182A5	0495,0422,0420
0182AF	0495,04B9
0182B8	0495,0410,043D
0182A3	0495,048D
0182B0	0495,0411,043B
0182BE	0495,048B
0182B7	0495,0497
01864E	04010F,0426
018671	040B,0401,040112
01521D	040123,0439
018868	0484,04AF
018ECB	04012E,0407
018FCE	04B6,042C,0436
018FD4	04B6,0413,043B
018FD1	04B6,04A7
0190B5	0439,0458,047C
0190B8	04AC,0401,047C
0190B1	04EF,047C
0190B6	0456,0415,047C
0191C7	04A8,0489
0191D1	040158
019577	040143
019580	040150
01961C	0404,04EA,0411
019640	047C,046B,0415
01963F	047C,0419,0458
01963B	047C,04D8
019644	047C,0422,0452
019642	047C,04FF
0196B9	040156
0196E8	040149
019752	0484,04AB
01975E	040152
014E9F	041A,0458,043B,0401
014EAD	042E,0458,0433,0419
014EAE	042E,0458,0433,0426
014FE1	0422,04013F
014FB5	0422,0472,0433,043B
014FAF	0422,0435,041F,044B
014FBF	0422,040130
014FE0	0422,044B,0422,0422
014FD1	0422,043E,041D,0445
014FCF	0422,0479,040116
014FDD	0422,0458,0489
014FC3	0422,0458,0497
014FB6	0422,0458,0404,0458
014FD8	0422,04A8,047A
014FDF	0422,043D,041F,044B
014FCA	0422,043D,0423,0464
014FD7	0422,0423,0422,0458
014FAE	0422,041F,04C6
014FD0	0422,04ED,0439
014FC4	0422,040139
014FC2	0422,0404,04012C
014FDA	0422,040135
014FCE	0422,0422,04D8
014FDE	0422,0401,04AB,0439
014FB7	0422,046D,0409,0458
015157	042E,0423,0458,0426
015192	049A,04D7
015191	04DA,049A
0151A0	0433,0410,0426,0452
01524E	0425,048A,0405,0439
015243	0431,04BF,0404,0439
01524A	0479,040116,0439
01524D	046C,04AB,0439
01524C	040131,0439
01524B	0411,0458,0426,0439
015247	040138,0439
0152C7	043E,041D,0445,043A
0152C9	042A,04E1,043A
0152C3	0411,0433,047A,043A
0152C1	0401,0480,0449,043A
01530D	042B,04012F
015357	0411,041D,0431,0443
015357	0411,041D,046C,0411
01537B	0423,0422,0458,0436
01539A	0413,0498,047A
0153DB	0431,0446,0413,043B
0154AC	0458,042E,04AA
0154C0	042E,0458,04AF
0154A8	0410,042A,0422,0458
0154CE	0458,0495,0425
0154C9	0411,0493,0458
0154B8	04D5,0401,0458
0154A6	0458,04010E
0154B3	0458,040124
0154C7	0458,0447,0447
0154C2	0458,040107
0154BD	0458,0459,044B
0154AA	0458,040125
0154C1	0458,0458,0458
0154C4	0458,0488,0423
0154C8	0458,0422,0401,0458
0154AF	0458,0463,0458
0154AB	046D,0406,0458,0423
0154B1	0458,04011D
0154BB	0458,0422,0489
0154A9	0458,040126
0154A7	0458,048F,0439
0154BF	0458,0422,04C5
0156FF	0459,0414,04AB
015782	04015F
01578B	0401,044D,0439,0447
0157A0	0447,040129
0157A3	0447,0401,0498,0401
0157A2	0447,0421,0401,0458
0157CE	0447,04D5,0409
0157AE	0447,044B,0401,041A
015793	0447,040124
015955	042E,04AE,044B
015951	04A5,0439,044B
