Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
0122E1	01227D,010338
0122E2	012291,010338
0122E3	012292,010338
0122EA	0122B2,010338
0122EB	0122B3,010338
0122EC	0122B4,010338
0122ED	0122B5,010338
012329	013008
01232A	013009
012ADC	012ADD,010338
01304C	01304B,013099
01304E	01304D,013099
013050	01304F,013099
013052	013051,013099
013054	013053,013099
013056	013055,013099
013058	013057,013099
01305A	013059,013099
01305C	01305B,013099
01305E	01305D,013099
013060	01305F,013099
013062	013061,013099
013065	013064,013099
013067	013066,013099
013069	013068,013099
013070	01306F,013099
013071	01306F,01309A
013073	013072,013099
013074	013072,01309A
013076	013075,013099
013077	013075,01309A
013079	013078,013099
01307A	013078,01309A
01307C	01307B,013099
01307D	01307B,01309A
013094	013046,013099
01309E	01309D,013099
0130AC	0130AB,013099
0130AE	0130AD,013099
0130B0	0130AF,013099
0130B2	0130B1,013099
0130B4	0130B3,013099
0130B6	0130B5,013099
0130B8	0130B7,013099
0130BA	0130B9,013099
0130BC	0130BB,013099
0130BE	0130BD,013099
0130C0	0130BF,013099
0130C2	0130C1,013099
0130C5	0130C4,013099
0130C7	0130C6,013099
0130C9	0130C8,013099
0130D0	0130CF,013099
0130D1	0130CF,01309A
0130D3	0130D2,013099
0130D4	0130D2,01309A
0130D6	0130D5,013099
0130D7	0130D5,01309A
0130D9	0130D8,013099
0130DA	0130D8,01309A
0130DC	0130DB,013099
0130DD	0130DB,01309A
0130F4	0130A6,013099
0130F7	0130EF,013099
0130F8	0130F0,013099
0130F9	0130F1,013099
0130FA	0130F2,013099
0130FE	0130FD,013099
01F900	018C48
01F901	0166F4
01F902	018ECA
01F903	018CC8
01F904	016ED1
01F905	014E32
01F906	0153E5
01F907	019F9C
01F908	019F9C
01F909	015951
01F90A	0191D1
01F90B	015587
01F90C	015948
01F90D	0161F6
01F90E	017669
01F90F	017F85
01F910	01863F
01F911	0187BA
01F912	0188F8
01F913	01908F
01F914	016A02
01F915	016D1B
01F916	0170D9
01F917	0173DE
01F918	01843D
01F919	01916A
01F91A	0199F1
01F91B	014E82
01F91C	015375
01F91D	016B04
01F91E	01721B
01F91F	01862D
01F920	019E1E
01F921	015D50
01F922	016FEB
01F923	0185CD
01F924	018964
01F925	0162C9
01F926	0181D8
01F927	01881F
01F928	015ECA
01F929	016717
01F92A	016D6A
01F92B	0172FC
01F92C	0190CE
01F92D	014F86
01F92E	0151B7
01F92F	0152DE
01F930	0164C4
01F931	016AD3
01F932	017210
01F933	0176E7
01F934	018001
01F935	018606
01F936	01865C
01F937	018DEF
01F938	019732
01F939	019B6F
01F93A	019DFA
01F93B	01788C
01F93C	01797F
01F93D	017DA0
01F93E	0183C9
01F93F	019304
01F940	019E7F
01F941	018AD6
01F942	0158DF
01F943	015F04
01F944	017C60
01F945	01807E
01F946	017262
01F947	0178CA
01F948	018CC2
01F949	0196F7
01F94A	0158D8
01F94B	015C62
01F94C	016A13
01F94D	016DDA
01F94E	016F0F
01F94F	017D2F
01F950	017E37
01F951	01964B
01F952	0152D2
01F953	01808B
01F954	0151DC
01F955	0151CC
01F956	017A1C
01F957	017DBE
01F958	0183F1
01F959	019675
01F95A	018B80
01F95B	0162CF
01F95C	016A02
01F95D	018AFE
01F95E	014E39
01F95F	015BE7
01F960	016012
01F961	017387
01F962	017570
01F963	015317
01F964	0178FB
01F965	014FBF
01F966	015FA9
01F967	014E0D
01F968	016CCC
01F969	016578
01F96A	017D22
